EAN;Curva;Produto;Concorrente;Preço concorrente;Nosso preço;Ganhador;Melhor preço;Classificação;Preço Drogaven;Preço Drogal;Preço DrogaRaia
4005808257584;C;DESODORANTE NIVEA ROLLON DRY COMFORT FEMININO 50ML;Drogaven;10.71;10.49;DROGACENTRO;10.49;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;10.71;0;0
4005900036704;C;DESODORANTE NIVEA ROLLON FEM BLACK CLEAR 50ML;Drogaven;10.71;10.49;DROGACENTRO;10.49;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;10.71;0;0
4005900130785;C;DESODORANTE NIVEA ROLLON FEM PROTECT&CARE 50ML;Drogaven;7.83;10.49;Drogaven;7.83;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;7.83;0;0
4005900036759;C;DESODORANTE NIVEA ROLLON MEN INVISIBLE FOR BLACK&WHITE 50ML;Drogaven;10.71;10.49;DROGACENTRO;10.49;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;10.71;0;0
4005808257669;C;DESODORANTE NIVEA ROLLON PEARL BEAUTY 50ML;Drogaven;10.71;10.49;DROGACENTRO;10.49;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;10.71;0;0
4005808663927;C;DESODORANTE NIVEA ROLLON SENSITIVE E PURE 50ML;Drogaven;10.71;10.6;DROGACENTRO;10.6;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;10.71;0;0
7791293032368;C;DESODORANTE REXONA AER FEM.SEM PERFUME 90G/150ML;Drogal;12.99;20.37;Drogal;12.99;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;17.14;12.99;0
7506306244184;C;DESODORANTE REXONA AER MEN INVISIBLE ANTIBACTERIAL 90G/150ML;Drogal;12.99;18.71;Drogal;12.99;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;17.14;12.99;0
7506306244177;C;DESODORANTE REXONA AER. FE. INVISIBLE ANTIBACTERIAL 90/150ML;Drogal;12.99;20.16;Drogal;12.99;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;17.14;12.99;0
7891150081291;C;DESODORANTE REXONA AERO INVISIBLE 250ML;Drogaven;22.44;27.68;Drogaven;22.44;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;22.44;0;0
7891150081321;C;DESODORANTE REXONA AERO MEN ANTIBACTERIAL INVISIBLE 250ML;Drogaven;22.44;27.68;Drogaven;22.44;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;22.44;0;0
7891150081260;C;DESODORANTE REXONA AEROSOL COTTON DRY 250ML;Drogaven;22.44;25.33;Drogaven;22.44;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;22.44;0;0
7791293032443;C;DESODORANTE REXONA AEROSOL FEM ACTIVE EMOTION 90G/150ML;Drogal;12.99;20.37;Drogal;12.99;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;17.14;12.99;0
7891150081284;C;DESODORANTE REXONA AEROSOL FEM ANT INVISIBLE 250ML;Drogaven;22.44;25.6;Drogaven;22.44;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;22.44;0;0
7791293032498;D;DESODORANTE REXONA AEROSOL FEM BAMBOO 90G/150ML;Drogal;12.99;20.37;Drogal;12.99;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;17.14;12.99;0
7791293051550;C;DESODORANTE REXONA AEROSOL FEM BODY FRESH CITRUS 150ML;Drogaven;24.4;20.1;DROGACENTRO;20.1;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;24.4;0;0
7791293032467;D;DESODORANTE REXONA AEROSOL FEM COTTON 90G/150ML;Drogal;12.99;20.37;Drogal;12.99;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;17.14;12.99;18.49
7891150064737;C;DESODORANTE REXONA AEROSOL FEM FRUTAS VERMELHAS 90G/150ML;Drogal;12.99;20.37;Drogal;12.99;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;17.14;12.99;0
7891150081277;C;DESODORANTE REXONA AEROSOL FEM INVISIBLE 250ML;Drogaven;22.44;25.6;Drogaven;22.44;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;22.44;0;0
7891150081253;B;DESODORANTE REXONA AEROSOL FEM POWDER DRY 250ML;Drogaven;22.44;25.6;Drogaven;22.44;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;22.44;0;0
7791293032436;C;DESODORANTE REXONA AEROSOL FEM POWDER DRY 90G/150ML;Drogal;12.99;20.37;Drogal;12.99;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;17.14;12.99;0
7891150054653;C;DESODORANTE REXONA AEROSOL FEM.ERVA DOCE 90G/150ML;Drogal;12.99;20.37;Drogal;12.99;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;17.14;12.99;0
7791293051581;D;DESODORANTE REXONA AEROSOL MASC BODY ACTIVE FRESH 150ML;Drogaven;24.4;20.1;DROGACENTRO;20.1;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;24.4;0;0
7791293051574;D;DESODORANTE REXONA AEROSOL MASC BODY OCEAN RUSH 150ML;Drogaven;24.4;20.1;DROGACENTRO;20.1;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;24.4;0;0
7791293022598;B;DESODORANTE REXONA AEROSOL MEN ACTIVE 90G/150ML;Drogaven;17.14;18.71;Drogaven;17.14;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;17.14;0;0
7891150081307;C;DESODORANTE REXONA AEROSOL MEN ACTIVE DRY 250ML;Drogaven;22.44;27.68;Drogaven;22.44;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;22.44;0;0
7791293025537;B;DESODORANTE REXONA AEROSOL MEN ANTIBACTERIAL 90G/150ML;Drogal;12.99;18.71;Drogal;12.99;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;17.14;12.99;0
7891150089983;D;DESODORANTE REXONA AEROSOL MEN CLINICAL INTENSE FRESH 91G;Drogaven;18.61;21.99;Drogaven;18.61;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;18.61;0;0
7891150054646;C;DESODORANTE REXONA AEROSOL MEN IMPACTO 90G/150ML;Drogal;12.99;18.71;Drogal;12.99;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;17.14;12.99;0
7791293022635;C;DESODORANTE REXONA AEROSOL MEN INVISIBLE 90G/150ML;Drogal;12.99;18.71;Drogal;12.99;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;17.14;12.99;0
7891150055872;C;DESODORANTE REXONA AEROSOL MEN SEM PERF. 90G/150ML;Drogal;12.99;18.71;Drogal;12.99;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;17.14;12.99;0
7891150081314;C;DESODORANTE REXONA AEROSOL MEN V8 250ML;Drogaven;22.44;27.68;Drogaven;22.44;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;22.44;0;0
7791293022567;C;DESODORANTE REXONA AEROSOL V8 90G/150ML;Drogal;12.99;18.71;Drogal;12.99;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;17.14;12.99;25.35
7791293022581;B;DESODORANTE REXONA AEROSOL XTRA COOL 105G/175ML;Drogal;12.99;18.71;Drogal;12.99;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;17.14;12.99;0
75082864;C;DESODORANTE REXONA ANT STICK ACTIVE DRY MEN 45G;Drogal;25.49;27.21;Drogal;25.49;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;0;25.49;0
75082833;D;DESODORANTE REXONA ANT STICK POWDER DRY FEM 45G;Drogal;25.49;26.31;Drogal;25.49;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;0;25.49;0
7891150102859;D;DESODORANTE REXONA CREME FEM BODY WILD ROSE 75G;Drogaven;24.4;20.05;DROGACENTRO;20.05;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;24.4;0;0
7891150102835;D;DESODORANTE REXONA CREME MASC BODY OCEAN RUSH 75G;Drogaven;24.4;20.05;DROGACENTRO;20.05;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;24.4;0;0
7791293038254;C;DESODORANTE REXONA FEM CLINICAL 55ML 33,5G;Drogaven;9.1;9.95;Drogaven;9.1;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;9.1;0;0
7506306214989;B;DESODORANTE REXONA FEM CLINICAL CLASSIC AEROSOL 90G/150ML;Drogaven;18.61;21.77;Drogaven;18.61;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;18.61;0;0
75076818;C;DESODORANTE REXONA FEM CLINICAL CREME 48G;Drogal;27.89;26.58;DROGACENTRO;26.58;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;0;27.89;0
7891150064300;C;DESODORANTE REXONA FEM CLINICAL EXTRA DRY AEROSOL 90G/150ML;Drogaven;18.61;21.77;Drogaven;18.61;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;18.61;0;0
75076870;B;DESODORANTE REXONA FEM CLINICAL EXTRA DRY CREME 48G;Drogal;27.89;26.58;DROGACENTRO;26.58;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;0;27.89;0
7891150089952;C;DESODORANTE REXONA FEM CLINICAL REFRESH AEROSOL 91G;Drogaven;18.61;23.82;Drogaven;18.61;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;18.61;0;0
7891150068728;C;DESODORANTE REXONA FEM CLINICAL S/PERFUME AEROSOL 90G/150ML;Drogaven;18.61;21.77;Drogaven;18.61;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;18.61;0;0
78926523;C;DESODORANTE REXONA FEM ROLLON ACTIVE EMOTION BENEFICIOS;Drogal;7.99;11.3;Drogal;7.99;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;0;7.99;0
75058845;C;DESODORANTE REXONA FEM ROLLON ANTIBACTERIAL+INVISIBLE 50ML;Drogal;7.99;11.3;Drogal;7.99;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;0;7.99;0
78924338;C;DESODORANTE REXONA FEM ROLLON POWDER 50ML;Drogal;7.99;11.3;Drogal;7.99;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;0;7.99;0
7791293038261;C;DESODORANTE REXONA MEN CLINICAL 55ML 33,5G;Drogaven;9.1;10.06;Drogaven;9.1;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;9.1;0;0
7506306214972;C;DESODORANTE REXONA MEN CLINICAL CLEAN AEROSOL 90G/150ML;Drogaven;18.61;21.77;Drogaven;18.61;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;18.61;0;0
75076825;C;DESODORANTE REXONA MEN CLINICAL CLEAN CREME 58G;Drogal;27.89;31.09;Drogal;27.89;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;0;27.89;0
7891150068735;D;DESODORANTE REXONA MEN CLINICAL SPORT AEROSOL 90G/150ML;Drogaven;18.61;21.77;Drogaven;18.61;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;18.61;0;0
75058852;C;DESODORANTE REXONA MEN ROLLON ANTIBACTERIAL+INVISIBLE 50ML;Drogal;7.99;11.56;Drogal;7.99;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;0;7.99;0
78925472;C;DESODORANTE REXONA MEN ROLLON INVISIBLE MEN BENEFICIOS 50ML;Drogal;7.99;11.56;Drogal;7.99;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;0;7.99;0
78938625;C;DESODORANTE REXONA MEN ROLLON S/PERFUME 50ML;Drogal;7.99;11.56;Drogal;7.99;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;0;7.99;0
78923454;B;DESODORANTE REXONA MEN ROLLON V8 50ML;Drogal;7.99;11.44;Drogal;7.99;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;0;7.99;0
78929395;C;DESODORANTE REXONA MEN ROLLON XTRA COOL 50ML;Drogal;7.99;11.44;Drogal;7.99;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;0;7.99;0
7896115704086;C;DESODORANTE ROLL ON BOM DE BOLA 65ML;Drogal;9.99;12.75;Drogal;9.99;PRINCIPAL > PERFUMARIA > INFANTIL > HIGIENE INFANTIL > classificar;13.51;9.99;0
7896115705496;D;DESODORANTE ROLL-ON KIDS SUAVE 65ML;Drogal;9.99;17.02;Drogal;9.99;PRINCIPAL > PERFUMARIA > INFANTIL > HIGIENE INFANTIL > classificar;13.51;9.99;0
7500435170024;C;DESODORANTE SECRET GEL BERRY 45G;Drogaven;22.53;29.87;Drogaven;22.53;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;22.53;0;0
7500435143875;D;DESODORANTE SECRET GEL ORANGE BLOSSOM 45G;Drogaven;22.53;28.37;Drogaven;22.53;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;22.53;0;0
7500435129367;C;DESODORANTE SECRET GEL PH BALANCED LAVENDER 45G;Drogaven;22.53;27.12;Drogaven;22.53;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;22.53;0;0
7500435129374;C;DESODORANTE SECRET POWDER PROTECT COTTON 45G;Drogaven;22.53;28.88;Drogaven;22.53;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;22.53;0;0
7891150070363;D;DESODORANTE SUAVE AEROSOL MEN INVISIBLE 200ML;Drogal;12.85;11.58;DROGACENTRO;11.58;PRINCIPAL > PERFUMARIA > MASCULINO > DESODORANTE MASC;0;12.85;0
4005808837311;C;DESOSORANTE NIVEA AEROSOL FEM  PEARL BEAUTY 92G/150ML;Drogaven;13.71;13.94;Drogaven;13.71;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;13.71;0;0
7791293032481;C;DESOSORANTE REXONA AEROSOL WOMAN INVISIBLE 90G/150ML;Drogal;12.99;20.37;Drogal;12.99;PRINCIPAL > PERFUMARIA > HIGIENE > DESODORANTE FEMININO;17.14;12.99;0
7891150094949;C;DOVE MASCARA HIDRATACAO 10 EM 1 270G;Drogal;22.4;52.91;Drogal;22.4;PRINCIPAL > PERFUMARIA > CABELO > MASCARA;39.19;22.4;0
78944725;D;DOVE MIX TEXTURA REAL 30ML;Drogal;13.99;21.95;Drogal;13.99;PRINCIPAL > PERFUMARIA > CABELO > classificar;0;13.99;0
7891150094345;D;DOVE SERUM HIDRATACAO VITAMINAS A & E 110ML;Drogaven;24.4;38.61;Drogaven;24.4;PRINCIPAL > PERFUMARIA > CABELO > SERUM;24.4;0;0
