EAN;Menor preço (R$);Origem;Produto;Link;Drogaven;Drogal;DrogaRaia
4006000178912;20.45;Drogal;Desodorante Antitraspirante Aerossol Masculino Nivea Men Derma Control Defende 200ml;https://www.drogal.com.br/desodorante-antitraspirante-aerossol-masculino-nivea-men-derma-control-defende-200ml/p;0.0;20.45;0
7898074618442;251.05;Drogal;Ursacol 300mg 30 Comprimidos;https://www.drogal.com.br/ursacol-300mg-30-comprimidos/p;0.0;251.05;0
7898948648735;111.29;Drogal;Suplemento Alimentar Ogestan Blues 30 Cápsulas;https://www.drogal.com.br/suplemento-alimentar-ogestan-blues-30-capsulas/p;0.0;111.29;0
7896255766791;139.49;Drogal;Creon 25.000ui 30 Cápsulas;https://www.drogal.com.br/creon25000ui30capsulas/p;0.0;139.49;0
7898422746759;4.99;Drogal;Sabonete em Barra Dove Original 90g;https://www.drogal.com.br/sabonete-em-barra-dove-original-90g/p;0.0;4.99;0
7898079001386;36.65;Drogal;Preservativo Prudence Super Sensitive 12 Unidades;https://www.drogal.com.br/preservativo-prudence-super-sensitive-12-unidades/p;0.0;36.65;0
7891317009892;80.19;Drogal;Trimeb 200mg 30 Cápsulas Moles;https://www.drogal.com.br/trimeb-200mg-30-capsulas-moles/p;0.0;80.19;0
7897947600713;27.99;Drogal;Hidratante Labial Carmed Ácido Hialurônico 10g;https://www.drogal.com.br/hidratante-labial-carmed-acido-hialuronico-10g/p;0.0;27.99;0
7896181909118;133.99;Drogal;Dermomax 4% Creme Dermatológico 30g;https://www.drogal.com.br/dermomax-4-creme-dermatologico-30g/p;0.0;133.99;0
7896676427844;32.79;Drogal;Kollagenase com Cloranfenicol 10mg/g + 0,6UI/g 15g Pomada de Uso Dermatológico;https://www.drogal.com.br/kollagenase-com-cloranfenicol-10mg-06uig-pomada-bisnaga-com-15g/p;0.0;32.79;0
7896699019989;40.35;Drogal;Bomba Manual Tira Leite Lolly 70ml;https://www.drogal.com.br/bomba-tira-leite-lolly-70ml/p;0.0;40.35;0
7896672204142;90.09;Drogal;Suplemento Alimentar Forten Energy Sabor Limão com Framboesa 10 Flaconetes 20ml Cada;https://www.drogal.com.br/suplemento-alimentar-forten-energy-sabor-limao-com-framboesa-10-flaconetes-20ml-cada/p;0.0;90.09;0
7899095245686;14.49;Drogal;Colchicina 0,5mg Geolab 30 Comprimidos;https://www.drogal.com.br/colchicina-05mg-30-comprimidos-geolab/p;0.0;14.49;0
7896548198292;30.55;Drogal;Maxidex 1mg/g Pomada Oftálmica Estéril 3,5g;https://www.drogal.com.br/maxidex-1mg-g-pomada-oftalmica-esteril-35g/p;0.0;30.55;0
7891000073100;29.29;Drogal;Cereal Infantil Mucilon Arroz e Aveia 600g;https://www.drogal.com.br/cereal-infantil-mucilon-arroz-e-aveia-600g/p;0.0;29.29;0
7896342451548;49.05;Drogal;Munhequeira Elástica Ajústável Mercur Cor Bege 1 Par;https://www.drogal.com.br/munhequeira-elastica-ajustavel-mercur-cor-bege-1-par/p;0.0;49.05;0
7891058001667;17.09;Drogal;Cloridrato de Amiodarona 100mg 30 Comprimidos - Medley (G);https://www.drogal.com.br/cloridratodeamiodarona100mg30comprimidosmedleyg/p;0.0;17.09;0
7891317002862;79.09;Drogal;Pondera XR 12,5mg 30 Comprimidos Revestidos Liberação Controlada;https://www.drogal.com.br/pondera-xr-125mg-30-comprimidos-revestidos-liberacao-controlada/p;0.0;79.09;0
7896004718453;13.29;Drogal;Clotrimazol 10mg/g EMS Creme Dermatológico 20g;https://www.drogal.com.br/clotrimazol-10mgg-ems-creme-dermatologico-20g/p;0.0;13.29;0
7891350046083;6.76;Drogaven;ESMALTE RISQUE CHILLI BEANS METAL ASAS PARA LIBERDADE;https://www.drogaven.com.br/esmalte-risque-chilli-beans-metal-asas-para-liberdade/p;6.76;0.0;0
7896004702049;15.19;Drogal;Benzoilmetronidazol 40mg/ml EMS Suspensão Oral 120ml;https://www.drogal.com.br/benzoilmetronidazol-40mg-ml-ems-suspensao-oral-120ml/p;0.0;15.19;0
7891150083073;9.49;Drogal;Sabonete Líquido Rexona Antibacterial Erva-Doce 250ml;https://www.drogal.com.br/sabonete-liquido-rexona-antibacterial-erva-doce-250ml/p;0.0;9.49;0
7891150081314;22.44;Drogaven;Desodorante Antitranspirante Rexona Men V8 aerossol 250mL;https://www.drogaven.com.br/desodorante-antitranspirante-rexona-men-v8-aerossol-250ml/p;22.44;0.0;0
7896676435214;26.69;Drogal;Mirugell Solução Oftálmica Estéril 5ml;https://www.drogal.com.br/mirugell-solucao-oftalmica-esteril-5ml/p;0.0;26.69;0
7896094921122;105.09;Drogal;Addera Cal 2.000UI 30 Comprimidos Revestidos;https://www.drogal.com.br/addera-cal-2000ui-30-comprimidos-revestidos/p;0.0;105.09;0
7891317015121;36.59;Drogal;Mantidan 100mg 30 Comprimidos;https://www.drogal.com.br/mantidan-100mg-30-comprimidos/p;0.0;36.59;0
7896226110455;152.99;Drogal;Suplemento Alimentar Dozemast NP 60 Comprimidos;https://www.drogal.com.br/suplemento-alimentar-dozemast-np-60-comprimidos/p;0.0;152.99;0
7891010253691;18.95;Drogal;"Sabonete Líquido Johnson&apos;s Kids Limpeza Super Poderosa 200ml";https://www.drogal.com.br/sabonete-liquido-johnsons-kids-limpeza-super-poderosa-200ml/p;0.0;18.95;0
7899420507984;30.89;Drogal;Ultrox 10mg 10 Comprimidos Sublinguais;https://www.drogal.com.br/ultrox-10mg-10-comprimidos-sublinguais/p;0.0;30.89;0
7896658033414;47.69;Drogal;Suplemento Alimentar Prolive 6 Cápsulas;https://www.drogal.com.br/suplemento-alimentar-prolive-6-capsulas/p;0.0;47.69;0
7891317013981;58.49;Drogal;Ária 4mg 30 Comprimidos Mastigáveis;https://www.drogal.com.br/aria-4mg-30-comprimidos-mastigaveis/p;0.0;58.49;0
7898079000235;22.29;Drogal;Preservativo Prudence Neon 3 unidades;https://www.drogal.com.br/preservativoprudenceneon3unidades/p;0.0;22.29;0
7896637030861;134.9;Drogal;Motilex Caps 60 Cápsulas;https://www.drogal.com.br/motilex-caps-60-capsulas/p;0.0;134.9;0
7896006298564;39.39;Drogal;Vodol 20mg/ml Spray 60ml;https://www.drogal.com.br/vodol-spray-60ml/p;0.0;39.39;0
7898430191923;49.79;Drogal;Tilestal 37,5mg + 325mg 20 Comprimidos Revestidos;https://www.drogal.com.br/tilestal-375mg-325mg-20-comprimidos-revestidos/p;0.0;49.79;0
7896672203336;201.96;Drogal;Fostair HFA 100/6mcg Solução Aerossol Inalatório 120 Doses + Contador de Dose;https://www.drogal.com.br/fostair-hfa-100-6mcg-solucao-aerossol-inalatorio-120-doses--contador-de-dose/p;0.0;201.96;0
7899420508448;58.49;Drogal;Azod 100mg 30 Comprimidos Revestidos;https://www.drogal.com.br/azod-100mg-30-comprimidos-revestidos/p;0.0;58.49;0
7898940448128;44.39;Drogal;Akineton 2mg caixa com 80 comprimidos;https://www.drogal.com.br/akineton-2mg-80-cpr-c1/p;0.0;44.39;0
7896671693107;16.59;Drogal;Condicionador Flores e Vegetais Detox Capilar 310ml;https://www.drogal.com.br/condicionador-flores-e-vegetais-detox-capilar-310ml/p;0.0;16.59;0
7891350045253;8.15;Drogal;Esmalte Cremoso Risqué Manicores Um Dia Amadureço 8ml;https://www.drogal.com.br/esmalte-cremoso-risque-manicores-um-dia-amadureco-8ml/p;0.0;8.15;0
7612412396003;36.25;Drogal;Escova Dental Curaprox 3960 Super Soft;https://www.drogal.com.br/escova-dental-curaprox-3960-super-soft/p;0.0;36.25;0
78911239;18.79;Drogal;Inalador para Congestão Nasal Vick 1 Unidade 0,5g;https://www.drogal.com.br/inalador-para-congestao-nasal-vick-1-unidade-05g/p;0.0;18.79;0
7896112401469;17.46;Drogal;Atenolol 50mg 30 Comprimidos - Biolab;https://www.drogal.com.br/atenolol-50mg-30-comprimidos-biolab/p;0.0;17.46;0
