EAN;Produto;Preço (R$);Link
7899095249639;Bimatoprosta 0,3mg/ml Geolab Solução Oftálmica 3ml;73.99;https://www.drogal.com.br/bimatoprosta-03mg-ml-geolab-solucao-oftalmica-3ml/p
7893093016439;Ansiodoron Weleda Solução Gotas 50ml;103.69;https://www.drogal.com.br/ansiodoron-weleda-solucao-gotas-50ml/p
7892953208199;Oxypynal 10mg 30 Comprimidos Revestidos de Liberação Prolongada;299.89;https://www.drogal.com.br/oxypynal-10mg-30-comprimidos-revestidos-de-liberacao-prolongada/p
7898949409724;Shampoo Tio Nacho Clareador 415ml;42.99;https://www.drogal.com.br/shampoo-tio-nacho-clareador-415ml/p
7891025119722;Kit Composto Lácteo Milnutri Premium 2 Unidades 800g;135.16;https://www.drogal.com.br/milnutri-premium-2-unidades-800g-cada/p
7896094999985;Analgésico Neosaldina Solução Gotas 15ml;47.69;https://www.drogal.com.br/neosaldina-solucao-oral-gotas-15ml/p
7891098040848;Chá Matte Ice Tea Leão Limão 450ml;8.89;https://www.drogal.com.br/cha-matte-ice-tea-leao-limao-450ml/p
7891317465049;Tâmisa 20 75mcg + 20mcg 21 Comprimidos;38.79;https://www.drogal.com.br/tamisa-20-75mcg--20mcg-21-comprimidos/p
63409;Sérum para Crescimento dos Cílios 4ml;35.2;https://www.drogal.com.br/serum-para-crescimento-dos-cilios-4ml/p
7897076923943;Oxcarbazepina 300mg Ranbaxy 60 Comprimidos Revestidos;74.79;https://www.drogal.com.br/oxcarbazepina-300mg-ranbaxy-60-comprimidos/p
7908458332588;Óleo De Tratamento Capilar Salon Line Xêrosa Baunilha Doce 60ml;30.75;https://www.drogal.com.br/oleo-de-tratamento-capilar-salon-line-xerosa-baunilha-doce-60ml/p
7893093083882;Previgrip Weleda Glóbulos 20g;108.39;https://www.drogal.com.br/previgrip-weleda-globulos-20g/p
7896007553303;Absorvente Poise Discreto para Escape de Urina Leve a Moderado 8 Unidades;9.19;https://www.drogal.com.br/absorvente-poise-discreto-para-escape-de-urina-leve-a-moderado-8-unidades/p
7896422511902;Oxcarbazepina 300mg Medley 30 Comprimidos Revestidos;29.99;https://www.drogal.com.br/oxcarbaz-300mg-30cpgmdl-c1/p
7894916517850;Koli D3 14.000UI Vitamina D 8 Cápsulas Moles;36.19;https://www.drogal.com.br/koli-d3-14000ui-8-capsulas-moles/p
7896094207325;Stavigile 100mg 30 Comprimidos;149.79;https://www.drogal.com.br/stavigile-100mg-30-comprimidos/p
7898569764944;Vitamina D3 2.000 UI Althaia 60 Cápsulas Moles;57.47;https://www.drogal.com.br/vitamina-d3-2000-ui-althaia-60-capsulas-moles/p
8445290159854;Café Nescafé Nespresso Colombia Espresso 10 Cápsulas;28.79;https://www.drogal.com.br/cafe-nascafe-nespresso-colombia-espresso-10-capsulas/p
7896523206288;Spray para Garganta Ciflogex 1,5mg/ml Sabor Menta 30ml;21.39;https://www.drogal.com.br/ciflogex-spray-15mg-ml-sabor-menta-solucao-oral-30ml/p
7899706138772;Protetor Solar Facial Vichy Idéal Soleil Efeito Matificante FPS30 Cor Clara 40g;80.85;https://www.drogal.com.br/protetor-solar-facial-vichy-ideal-soleil-efeito-matificante-fps30-40g/p
7908079517272;Lenços Umedecidos Flock Baby com Extrato de Aloe Vera 50 Unidades;7.99;https://www.drogal.com.br/lencos-umedecidos-flock-baby-com-extrato-de-aloe-vera-50-unidades/p
7896094929319;Analgésico Doril 10 Comprimidos;17.99;https://www.drogal.com.br/doril-10-comprimidos/p
7896007549696;Fralda Huggies Roupinha Pants Proteção Acolchoada XG 24 Unidades;57.19;https://www.drogal.com.br/fralda-huggies-roupinha-supreme-care-disney-baby-xg-24-unidades/p
7896382709197;Mounjaro 12,5mg/0,5ml Solução Injetável Subcutânea 4 Canetas Aplicadoras de 0,5ml;3811.36;https://www.drogal.com.br/mounjaro-125mg-05ml-solucao-injetavel-subcutanea-4-canetas-aplicadoras-de-05ml/p
7897917005975;Valium 5mg 30 Comprimidos;26.99;https://www.drogal.com.br/valium-5mg-30-comprimidos/p
7896663325146;Extrato de Própolis Verde Apis Flora Orgânico 30ml;47.99;https://www.drogal.com.br/extrato-de-propolis-verde-apis-flora-organico-30ml/p
7896676441215;Suplemento Alimentar Druse 90 Cápsulas Gelatinosas Moles;158.69;https://www.drogal.com.br/suplemento-alimentar-druse-90-capsulas-gelatinosas-moles/p
7898495605533;Maximus A-Z com Ômega 3 30 Cápsulas;105.79;https://www.drogal.com.br/maximusa-z30capsulaszeroacucar/p
7896658038709;Pant Sec Solução Capilar 50mg/ml 3 Frascos 50ml + 1 Válvula Spray;87.59;https://www.drogal.com.br/pant-sec-solucao-capilar-50mgml-3-frascos-50ml-1-valvula-spray/p
7896094931152;Rinosoro Spray SIC 3% Solução Hipertônica 50ml;31.75;https://www.drogal.com.br/rinosoro-spray-sic-3-solucao-hipertonica-50ml/p
7891000389300;Bebida Láctea Nescafé Chococino 270ml;10.95;https://www.drogal.com.br/bebida-lactea-nescafe-chococino-270ml/p
8710103871347;Mamadeira Avent Pétala Tigre 260ml;108.19;https://www.drogal.com.br/mamadeira-avent-petala-tigre-260ml/p
7896111944905;Esmalte Transparente Impala A Cor da Sua Moda Top Blanc 7,5ml;6.39;https://www.drogal.com.br/esmalte-transparente-impala-a-cor-da-sua-moda-top-blanc-75ml/p
7896331706338;Protetor Solar Corporal Helioderm Aerosol 2 em 1 Proteção + Hidratação FPS50 200ml;70.39;https://www.drogal.com.br/protetor-solar-corporal-helioderm-aerosol-fps50-200ml/p
7891150066366;Sorvete Kibon Mordisko Sabor Baunilha com Biscoito Sabor Chocolate 65g;8.85;https://www.drogal.com.br/sorvete-kibon-mordisko-sabor-baunilha-com-biscoito-sabor-chocolate-65g/p
7898949409632;Creme Facial Cicatricure Antissinais 50g;59.35;https://www.drogal.com.br/creme-facial-cicatricure-antissinais-50g/p
7899852018256;Batom Vult Hidra Lips Vinho Rosado 3,6g;9.99;https://www.drogal.com.br/batom-vult-hidra-lips-vinho-rosado-36g/p
7899420503597;Prós HP 2mg + 5mg 30 Cápsulas;162.79;https://www.drogal.com.br/pros-hp-2mg5mg-30-capsulas/p
7896007540600;Absorvente Intimus Toda Protegida Dia Suave Sem Abas 8 Unidades;5.35;https://www.drogal.com.br/absorvente-intimus-tripla-protecao-extra-suave-sem-abas-8-unidades/p
7898549757133;Monessa 90 Cápsulas Gelatinosas Duras;328.89;https://www.drogal.com.br/monessa-90-capsulas-gelatinosas-duras/p
7899550901706;Massa de Modelar Magic Alfabeto 280g + Moldes de Alfabeto;19.99;https://www.drogal.com.br/massa-de-modelar-magic-alfabeto-280g-moldes-de-alfabeto/p
7899547538915;Elatium 16mg 30 Capsulas;182.99;https://www.drogal.com.br/elatium-16mg-30-capsulas/p
7898569762742;Acetato de Clormadinona + Etinilestradiol 2mg + 0,03mg Althaia 21 Comprimidos Revestidos;27.29;https://www.drogal.com.br/acetato-de-clormadinona-etinilestradiol-2mg-003mg-althaia-21-comprimidos-revestidos/p
7896094202771;Cardilol 12,5mg 30 Comprimidos;42.12;https://www.drogal.com.br/cardilol-125mg-30-comprimidos/p
7891317031053;Maq Derma 30 Cápsulas;94.89;https://www.drogal.com.br/maq-derma-30-capsulas/p
7898216362431;Cloridrato de Propranolol 40mg Pharlab 30 Comprimidos;4.99;https://www.drogal.com.br/cloridrato-de-propranolol-40mg-pharlab-30-comprimidos/p
7896009498657;Suplemento Alimentar Centrum Mulher De A a Zinco 30 Comprimidos;69.9;https://www.drogal.com.br/suplemento-alimentar-centrum-mulher-de-a-a-zinco-30-comprimidos/p
7895296365017;Bissulfato de Clopidogrel 75mg Nova Química 28 Comprimidos Revestidos;62.39;https://www.drogal.com.br/bissulfato-de-clopidogrel-75mg-nova-quimica-28-comprimidos-revestidos/p
4006000104256;Desodorante Antitranspirante Aerosol Nivea Men Deep Carvão Ativado 200ml;22.85;https://www.drogal.com.br/desodorante-antitranspirante-aerosol-nivea-men-deep-carvao-ativado-200ml/p
7899674042750;Kit Sabonete em Barra Above Woman Cream Vanilla 6 Unidades 75g;14.95;https://www.drogal.com.br/kit-sabonete-em-barra-above-woman-cream-vanilla-6-unidades-75g/p
7896768497076;Protetor Solar Facial Ada Tina Pure C FPS50 50ml;308.19;https://www.drogal.com.br/protetor-solar-ada-tina-pure-c-fps50-50ml/p
7896004704623;Maleato de Dexclorfeniramina + Betametasona - EMS 2 mg/5 ml + 025 mg/5 ml xarope frasco com 120ml;24.84;https://www.drogal.com.br/maleato-dexclbet-xpe120gems/p
7898303264129;Supra FlexiGold 500mg Herbamed Colágeno Tipo II, Vitamina D3 e Magnésio 60 Cápsulas;69.87;https://www.drogal.com.br/supra-flexigold-500mg-herbamed-colageno-tipo-ii-vitamina-d3-e-magnesio-60-capsulas/p
7896112110347;Aminofilina 100mg Teuto 20 Comprimidos;5.19;https://www.drogal.com.br/aminofilina-100mg-teuto-20-comprimidos/p
7896094920910;Doril Enxaqueca 8 Comprimidos Revestidos;15.9;https://www.drogal.com.br/doril-enxaqueca-8-comprimidos-revestidos/p
7891317144142;Suplemento de Vitamina D Aidê 3 Sabor Limão 20ml;106.39;https://www.drogal.com.br/suplemento-de-vitamina-d-aide-3-sabor-limao-20ml/p
7896112410621;Endofer 100mg 60 Comprimidos Mastigáveis;75.29;https://www.drogal.com.br/endofer-100mg-60-comprimidos-mastigaveis/p
7891024115800;Sabonete Líquido Antibacteriano para Corpo Protex Balance 250ml;15.09;https://www.drogal.com.br/sabonete-liquido-antibacteriano-para-corpo-protex-balance-250ml/p
7898636193622;Proctan Pomada 25g + Protetor Higiênico para os Dedos;60.49;https://www.drogal.com.br/proctan-pomada-25g--protetor-higienico-para-os-dedos/p
7899598022098;Suplemento Alimentar em Pó Gummy Collagen Drink Sabor Cranberry com Pitaya 200g;138.11;https://www.drogal.com.br/suplemento-alimentar-em-po-gummy-collagen-drink-sabor-cranberry-com-pitaya-200g/p
7896006207290;Suplemento Alimentar Bio-C + Zinco Sabor Laranja 10 Comprimidos Efervescentes;13.9;https://www.drogal.com.br/suplemento-alimentar-bio-c-zinco-sabor-laranja-10-comprimidos-efervescentes/p
7894916515559;Patz SL 5mg 20 Comprimidos Sublinguais;105.87;https://www.drogal.com.br/patz-sl-5mg-20-comprimidos-sublinguais/p
7896714202891;Cloridrato de Ambroxol 30mg/5ml Neo Química Xarope Adulto Sabor Framboesa 120ml + Copo Dosador;28.88;https://www.drogal.com.br/cloridrato-de-ambroxol-30mg5ml-neo-quimica-xarope-uso-oral-120ml/p
7891024068007;Escova Dental Colgate OrthoGard 1 Unidade;30.25;https://www.drogal.com.br/escova-dental-colgate-orthogard-1-unidade/p
7894916517195;Koli D3 7.000UI Vitamina D 10 Cápsulas Moles;31.59;https://www.drogal.com.br/koli-d3-7000ui-10-capsulas-moles/p
3282770390940;Creme Hidratante Multirreparador Darrow Nutriol Cicamed 20g;35.05;https://www.drogal.com.br/creme-hidratante-multirreparador-darrow-nutriol-cicamed-20g/p
7898582380237;Toperma 5% 30 emplastros;505.69;https://www.drogal.com.br/toperma530emplastros/p
7891000452912;Bebida Láctea Nutren Protein 15g de Proteínas com Colágeno Sabor Chocolate 260ml;16.65;https://www.drogal.com.br/bebida-lactea-nutren-protein-15g-de-proteinas-com-colageno-sabor-chocolate-260ml/p
7898133131011;Maxalgina 500mg Solução Oral Sabor Abacaxi 20ml;4.79;https://www.drogal.com.br/maxalgina-500mg-gotas-20ml-natulab/p
7891317043148;Suplemento Alimentar Feminis 90 Cápsulas Moles;399.79;https://www.drogal.com.br/suplemento-alimentar-feminis-90-capsulas-moles/p
7896676441796;Teroquatro 4mg/ml Solução Oftálmica 5ml;45.99;https://www.drogal.com.br/teroquatro-4mgml-solucao-oftalmica-5ml/p
7896004754017;Siluestat 120mg 42 Cápsulas Duras;113.98;https://www.drogal.com.br/siluestat-120mg-42-capsulas-duras/p
7896902285422;Oleo Rícino Farmax 30ml;8.35;https://www.drogal.com.br/oleo-ricino-farmax-30ml-novo/p
7896658012341;Sintocalmy 300mg 20 Comprimidos Revestidos;55.79;https://www.drogal.com.br/sintocalmy-300mg-20-comprimidos-revestidos/p
7891150059795;Creme para Pentear Love Beauty and Planet Hope and Repair Óleo de Coco e Ylang Ylang 200ml;34.19;https://www.drogal.com.br/creme-para-pentear-love-beauty-and-planet-hope-and-repair-oleo-de-coco-e-ylang-ylang-200ml/p
5060632500854;Colpotrofine 10mg 20 Cápsulas Vaginais;84.99;https://www.drogal.com.br/colpotrofine-10mg-20-capsulas-vaginais/p
7898556033268;Tintura de Iodo 2% Nexter 30ml;10.05;https://www.drogal.com.br/tintura-de-iodo-2-nexter-30ml/p
7891035990861;Preservativo Olla Play 3 Unidades;8.45;https://www.drogal.com.br/preservativo-olla-play-com-3-unidades/p
7896770980788;Roupa Íntima Tena Pants Dermacare P/M Embalagem Econômica 16 Unidades;85.75;https://www.drogal.com.br/roupa-intima-tena-pants-slip-dermacare-pm-16-unidades/p
7891150088573;Máscara de Tratamento Seda Boom Hidratação Duradoura 500g;35.49;https://www.drogal.com.br/mascara-de-tratamento-seda-boom-hidratacao-duradoura-500g/p
7891150097360;Kit Shampoo Seda Colágeno + Vitamina C 300ml + Condicionador Seda Colágeno + Vitamina C 190ml;14.79;https://www.drogal.com.br/kit-shampoo-seda-colageno-vitamina-c-300ml-condicionador-seda-colageno-vitamina-c-190ml/p
7891142982216;Suplemento Alimentar Nouve Biotin 30 Cápsulas;124.99;https://www.drogal.com.br/suplemento-alimentar-nouve-biotin-30-capsulas/p
7891025118763;Fórmula Infantil Aptanutri Profutura 3 800g;99.29;https://www.drogal.com.br/formula-infantil-aptanutri-profutura-3-800g/p
7896090611942;Sonridor Rapid Forte 10 Comprimidos;9.09;https://www.drogal.com.br/sonridor-rapid-forte-10-comprimidos/p
7896094211728;Jolik 20mg/ml Solução Oral 225ml + Seringa Dosadora;180.79;https://www.drogal.com.br/jolik-20mg-ml-solucao-oral-225ml--seringa-dosadora/p
7500435142236;Máscara Capilar Intensiva Pantene Pro-V Nutrição Umectante 270ml;38.65;https://www.drogal.com.br/mascara-intensiva-pantene-pro-v-nutricao-umectante-270ml/p
7896714290843;Rivaroxabana 20mg Neo Química 30 Comprimidos Revestidos;50.69;https://www.drogal.com.br/rivaroxabana-20mg-neo-quimica-30-comprimidos-revestidos/p
7500435128742;"Shampoo Head&amp;Shoulders Detox da Raiz 200ml";22.59;https://www.drogal.com.br/shampoo-headshoulders-detox-da-raiz-200ml/p
7891150087286;Creme de Pentear Dove Texturas Reais Cacheados 355ml;6.99;https://www.drogal.com.br/creme-para-pentear-dove-texturas-reais-cacheados-355ml/p
7896094910904;Adoçante Líquido Zero-Cal Sacarina 100ml;6.89;https://www.drogal.com.br/adocante-liquido-zero-cal-sacarina-100ml/p
7899706219365;Esmalte Colorama Guru do Amor Próprio O Prazer é Meu 8ml;6.95;https://www.drogal.com.br/esmalte-colorama-guru-do-amor-proprio-o-prazer-e-meu-8ml/p
7896004716275;Bromazepam 3mg Germed 30 Comprimidos;18.19;https://www.drogal.com.br/bromazepam-3mg-germed-30-comprimidos/p
7896663300600;Apidol Spray Sabor Própolis, Tutti-Frutti e Mel 30ml;15.55;https://www.drogal.com.br/apidol-spray-sabor-propolis-tutti-frutti-e-mel-30ml/p
7500435172998;Kit Gillette Aparelho de Barbear  + Refis + Espuma Mach3 Sensitive;55.89;https://www.drogal.com.br/kit-gillette-aparelho-de-barbear-refis-espuma-mach3-sensitive/p
7900083010336;Pó Compacto Ruby Rose Pure Porcelain Cor P30 7g;14.55;https://www.drogal.com.br/po-compacto-ruby-rose-pure-porcelain-cor-p30-7g/p
7891106910798;"Calcanheira Feminina Dr. Scholl&apos;s Massaging Gel Tamanho 34-39";70.75;https://www.drogal.com.br/calcanheira-feminina-dr-scholls-massaging-gel-tamanho-34-39/p
7896685303856;Sabonete Líquido Baby Kronel O Show da Luna 250ml;21.49;https://www.drogal.com.br/sabonete-liquido-baby-kronel-o-show-da-luna-250ml/p
7896004712598;Cefalexina 1g Germed 8 Comprimidos Revestidos;88.09;https://www.drogal.com.br/cefalexina-1g-germed-pharma-8-comprimidos-revestidos/p
7509546703404;Enxaguante Bucal Colgate Plax Respira e Refresca Sabor Melancia 500ml;14.65;https://www.drogal.com.br/enxaguante-bucal-colgate-plax-respira-e-refresca-sabor-melancia-500ml/p
7908079511874;Esmalte Lack Luminus Favoritos Made For You 8ml;5.95;https://www.drogal.com.br/esmalte-lack-luminus-favoritos-made-for-you-8ml/p
7891058022693;Suplemento Alimentar Targifor Imunidade A-Z Mulher 30 Cápsulas;64.09;https://www.drogal.com.br/suplemento-alimentar-targifor-imunidade-a-z-mulher-30-capsulas/p
7908079515360;Kit Sabonete Líquido Facial Zeta Skin Vitta C 2 Unidades 300ml;45.99;https://www.drogal.com.br/kit-sabonete-liquido-facial-zeta-skin-vitta-c-2-unidades-300ml/p
7898661012851;Suplemento Alimentar Puravida Blue Calm Sabor Limão, Camomila, Maracujá e Spirulina Azul Sachê 5g 1 Unidade;6.39;https://www.drogal.com.br/suplemento-alimentar-blue-calm-puravida-sabor-limao-camomila-maracuja-e-spirulina-azul-sache-5g-1-unidade/p
7898341432719;Chá Leão Sabor Camomila, Baunilha e Mel 10 Sachês;10.99;https://www.drogal.com.br/cha-leao-sabor-camomila-baunilha-e-mel-10-saches/p
7891150074705;"Kit Shampoo + Condicionador Love Beauty &amp; Planet Manteiga de Murumuru &amp; Rosa 300ml";57.19;https://www.drogal.com.br/kit-shampoo-condicionador-love-beauty-planet-manteiga-de-murumuru-rosa-300ml/p
7898096577062;Pronazol 150mg 2 Cápsulas;27.99;https://www.drogal.com.br/pronazol-150mg-2-capsulas/p
7896094929807;Suplemento Alimentar Probiótico Tamarine Germina 4BI 5 frascos 5ml;36.6;https://www.drogal.com.br/suplemento-alimentar-tamarine-germina-suspensao-oral-sem-sabor-5-frascos-5ml/p
7891010972226;Gel De Limpeza Facial Neutrogena Deep Clean Intensive Grapefruit 150g;41.19;https://www.drogal.com.br/gel-de-limpeza-facial-neutrogena-deep-clean-intensive-grapefruit-150g/p
7896006213710;Acnen 5% Gel Dermatológico 20g;62.39;https://www.drogal.com.br/acnen-5-gel-dermatologico-20g/p
7896422515641;Atenolol + Clortalidona  50 + 12,5mg caixa com 30 comprimidos;40.61;https://www.drogal.com.br/atenololcl-50125mg30cgmd/p
7896512905246;Sabonete de Glicerina Granado Mel 90g;7.85;https://www.drogal.com.br/sabonete-de-glicerina-granado-mel-90g/p
7897930778320;Kit Creme Hidratante Cetaphil Pele Seca e Sensível 453g + Loção de Limpeza Cetaphil Pele Seca e Sensível 120ml;99.89;https://www.drogal.com.br/kit-creme-hidratante-cetaphil-pele-seca-e-sensivel-453g-locao-de-limpeza-cetaphil-pele-seca-e-sensivel-120ml/p
7891010247454;"Sabonete Johnson&apos;s Daily Care Erva Doce 80g";3.75;https://www.drogal.com.br/sabonete-johnsons-daily-care-erva-doce-80g/p
